Address       True          Mine
100f60 3e43602544282ee1338cf218e2def1e7,    3e43602544282e00330000180
100f70 3f0f2f46d6207260bb891beea45e80e5,    3f0f2f462072601b005e0000
100f80 f20734a167105e3238b6b397d586604f,    7340067105e3238000000604f
100f90 5579170075320e4250725322503c47fe,    5579170075320e4250725322503c4700
100fa0 f20734a167105e3238b6b397d586604f,    7340067105e3238000000604f
100fb0 5579170075320e4250725322503c47fe,    5579170075320e4250725322503c4700
100fc0 eff749f822120a82902f53edef2435f7,    490022120a002f5300243500
100fd0 2f99484256bc63ac13d737ee31f7d3d6,    2f004842560063001300370031000000
100fe0 eff749f822120a82902f53edef2435f7,    490022120a002f5300243500
100ff0 2f99484256bc63ac13d737ee31f7d3d6,    2f004842560063001300370031000000
101000 d8df402743f5b40b8d1b6cf95d7701b2,    40274300000b1b6c005d770100
101010 89f7aae63602799bea312cf3c21afb2a,    036027900312c001a002a
101020 d8df402743f5b40b8d1b6cf95d7701b2,    40274300000b1b6c005d770100
101030 89f7aae63602799bea312cf3c21afb2a,    036027900312c001a002a
101040 66fbce9da5a84f8fbcf7fc321f82c242,    660000004f00321f000042
101050 ca406f18accbdd5b28e8c0da8e7b380a,    406f185b280000007b380a
101060 66fbce9da5a84f8fbcf7fc321f82c242,    660000004f00321f000042
101070 ca406f18accbdd5b28e8c0da8e7b380a,    406f185b280000007b380a
101080 538c40f761c085f1df1ed14197b8a7a3,    53004000610000001e00410
101090 a61ee1cb5206c77d7590d424463efe8,    1e00005206007d7590d4244630000
1010a0 538c40f761c085f1df1ed14197b8a7a3,    53004000610000001e00410
1010b0 a61ee1cb5206c77d7590d424463efe8,    1e00005206007d7590d4244630000
1010c0 43a3002ae6b0a8935f7b161ab52ee0c,    4300002a0500006152000c
1010d0 5803bd35b802228ad63aaad64eab7698,    58030035222003a00004e007600
1010e0 43a3002ae6b0a8935f7b161ab52ee0c,    4300002a0500006152000c
1010f0 5803bd35b802228ad63aaad64eab7698,    58030035222003a00004e007600
101100 e39df9dc6a951dd6a5c66d7bf1569fc0,    06a001d006d7b560000
101110 81468d85da2c6d8528bc3be6127158e1,    4600002c6d0028003b0012715800
101120 e39df9dc6a951dd6a5c66d7bf1569fc0,    06a001d006d7b560000
101130 81468d85da2c6d8528bc3be6127158e1,    4600002c6d0028003b0012715800
101140 814670c22d100a1929d1d715cee193a0,    4670002d100a19290000150
101150 439aac9071137bdb31478ccd16a97417,    4300000071137b003147000016007417
101160 814670c22d100a1929d1d715cee193a0,    4670002d100a19290000150
101170 439aac9071137bdb31478ccd16a97417,    4300000071137b003147000016007417
101180 a069b60d80644e11464b066392d7c1,    a060060d00644e11464b0663000000
101190 c876a91b9ff2deef2e4ceae822ccf8,    76001b9002d0008220000
1011a0 a069b60d80644e11464b066392d7c1,    a060060d00644e11464b0663000000
1011b0 c876a91b9ff2deef2e4ceae822ccf8,    76001b9002d0008220000
1011c0 aa014c47be98e7a616b9356594b2457e,    14c47016003565457e
1011d0 db5fb95566713b7534b201f55d641d20,    5f005566713b75340001005d641d20
1011e0 aa014c47be98e7a616b9356594b2457e,    14c47016003565457e
1011f0 db5fb95566713b7534b201f55d641d20,    5f005566713b75340001005d641d20
101200 f809fd91f407db668036fd13671800fa,    900007006636001367180000
101210 391a872912c91a5c8c0c37c66e3dbac7,    391a002912001a5cc37006e3d0000
101220 f809fd91f407db668036fd13671800fa,    900007006636001367180000
101230 391a872912c91a5c8c0c37c66e3dbac7,    391a002912001a5cc37006e3d0000
101240 458990401a1b004d4fdae9ead1ed92c7,    450000401a1b004d4f0000000
101250 d8f2e06e28e1ae5e6f31f50284997ea,    6e2800005e6f3100028490000
101260 458990401a1b004d4fdae9ead1ed92c7,    450000401a1b004d4f0000000
101270 d8f2e06e28e1ae5e6f31f50284997ea,    6e2800005e6f3100028490000
101280 bff69d7eef84bb04b0d99031961fba23,    7e4311f0023
101290 c3661c0cc6298f0a84de28e87646605f,    661c0c29000a28007646605f
1012a0 bff69d7eef84bb04b0d99031961fba23,    7e4311f0023
1012b0 c3661c0cc6298f0a84de28e87646605f,    661c0c29000a28007646605f
1012c0 2ca91e8b2d6f762980f33cad802585e,    2c001e002d6f76293c00802585e
1012d0 2dccd9a133f7852296157c0d7c97ff92,    2d00000033000022157c0d7c000000
1012e0 2ca91e8b2d6f762980f33cad802585e,    2c001e002d6f76293c00802585e
1012f0 2dccd9a133f7852296157c0d7c97ff92,    2d00000033000022157c0d7c000000
101300 578dbf63c8255725ad053e68fff2aa70,    5700006325572553e6870
101310 bb8d143fcc502ac2701e2143386274f3,    143f502a00701e214338627400
101320 578dbf63c8255725ad053e68fff2aa70,    5700006325572553e6870
101330 bb8d143fcc502ac2701e2143386274f3,    143f502a00701e214338627400
101340 d78209eee5c96ed9e5aa20f5dc5944e,    d7820005c00005a000f5d00004e
101350 1d5152dc115638c0b194720d310ff159,    1d51520011563800720d310f0059
101360 d78209eee5c96ed9e5aa20f5dc5944e,    d7820005c00005a000f5d00004e
101370 1d5152dc115638c0b194720d310ff159,    1d51520011563800720d310f0059
101380 6578cfdca9cca06245bb41374df06ce,    65780000a000006245b001374000600
101390 179fe327b6012697c1b5aba800b43ea,    17900327b6012697c1b5a00b4300
1013a0 6578cfdca9cca06245bb41374df06ce,    65780000a000006245b001374000600
1013b0 179fe327b6012697c1b5aba800b43ea,    17900327b6012697c1b5a00b4300
1013c0 2b456a92a466d99630a4de18ca860e1,    20056002a466d00630a4d006000
1013d0 26f5737edfaec00284d97aa87afcd2cd,    2600737e27a007a000000
1013e0 2b456a92a466d99630a4de18ca860e1,    20056002a466d00630a4d006000
1013f0 26f5737edfaec00284d97aa87afcd2cd,    2600737e27a007a000000
101400 20202aaeb8bcf5dbb43206642ab7c8f5,    20202a0003206642a000000
101410 6c3844b76384c600f63204a4aeab2717,    6c384400630000003204002717
101420 20202aaeb8bcf5dbb43206642ab7c8f5,    20202a0003206642a000000
101430 6c3844b76384c600f63204a4aeab2717,    6c384400630000003204002717
101440 cab9c0c0c0dea6b1cc8ff3b3abded0ac,    0000
101450 48617badacc0b8caf31781f68b4de559,    48617b0001700004d0059
101460 cab9c0c0c0dea6b1cc8ff3b3abded0ac,    0000
101470 48617badacc0b8caf31781f68b4de559,    48617b0001700004d0059
101480 179ff01b78f0c1f91055ef6b8f3a6fb,    1700001b780000001055e000
101490 c926d295a2291da017d774a06649b253,    260000291d001700740066490053
1014a0 179ff01b78f0c1f91055ef6b8f3a6fb,    1700001b780000001055e000
1014b0 c926d295a2291da017d774a06649b253,    260000291d001700740066490053
1014c0 6b765ba3588284e17044b9e987fef093,    6b765b0058000000704400000
1014d0 aa61aa59be6a453197120efbfc8692c8,    6100596a4531120e000
1014e0 6b765ba3588284e17044b9e987fef093,    6b765b0058000000704400000
1014f0 aa61aa59be6a453197120efbfc8692c8,    6100596a4531120e000
101500 8cb3ab2f659bbc8f84a0fd9f22fe0841,    2f65000000022000841
101510 765013c923de8e4a5d5bb961e6d9cd4,    765013002300004a50000001e6d0000
101520 8cb3ab2f659bbc8f84a0fd9f22fe0841,    2f65000000022000841
101530 765013c923de8e4a5d5bb961e6d9cd4,    765013002300004a50000001e6d0000
101540 6de3135af70e7870201bec5e42b7cfa7,    6d00135ae7870201b005e42000000
101550 d9b2d88772655c388d2745b3ca4d1b19,    072655c382745004d1b19
101560 6de3135af70e7870201bec5e42b7cfa7,    6d00135ae7870201b005e42000000
101570 d9b2d88772655c388d2745b3ca4d1b19,    072655c382745004d1b19
101580 6d8c0e0b1fe1079f3cec3b61a3f62f0b,    6d000e0b1f0007003c003b612f0b
101590 91622394acd1e35c8149738ff132850f,    6223005c49730032000f
1015a0 6d8c0e0b1fe1079f3cec3b61a3f62f0b,    6d000e0b1f0007003c003b612f0b
1015b0 91622394acd1e35c8149738ff132850f,    6223005c49730032000f
1015c0 5dd742c13db2167d3f78e11c6a8853a4,    5d0042003d00167d3f78001c6a005300
1015d0 19729fb0346c421e6515653b39a10b50,    19720000346c421e6515653b39000b50
1015e0 5dd742c13db2167d3f78e11c6a8853a4,    5d0042003d00167d3f78001c6a005300
1015f0 19729fb0346c421e6515653b39a10b50,    19720000346c421e6515653b39000b50
101600 333071e65e3f04092c2aba78bc0d0cb9,    333071005e3f04092c2a0078d0c00
101610 5eb7fba8e2570d41f339bebc54fbd12f,    5e000000570d413900005400002f
101620 333071e65e3f04092c2aba78bc0d0cb9,    333071005e3f04092c2a0078d0c00
101630 5eb7fba8e2570d41f339bebc54fbd12f,    5e000000570d413900005400002f
101640 cdc1d7819a25a5cdd68ea5bba8ec616b,    02500000616b
